name,maxstreak,startcomp,endcomp,days
Enrico Brienza,1,CalabrianOpen2019,ongoing,1212
Francesco Azzarà,1,CalabrianOpen2019,ongoing,1212
Francesco Naccarato,1,CalabrianOpen2019,ongoing,1212
Rocco Stabile,1,CalabrianOpen2019,ongoing,1212
Martina Buda,1,SicilyOpen2018,ongoing,1359
Giacomo Grosso,1,ItalianOpen2018,ongoing,1387
Alexis Bonazzi,1,ItalianOpen2018,ongoing,1387
Andrea Boroni Grazioli,1,MantuaWinter2018,ongoing,1582
Julian Frisoli,1,CriciumaOpen2017,ongoing,1710
Samuele Gigli,1,TuscanyOpen2017,ongoing,1674
Simone Angelotti,1,TuscanyOpen2017,ongoing,1674
Niccolò Villaggi,1,ItalianChampionship2017,ongoing,1653
Mattia Micheletta Merlin,1,ItalianChampionship2017,ongoing,1653
Giacomo Beretta,1,LibertyScience2017,ongoing,1653
Cristian Gamba,1,ItalianChampionship2017,ongoing,1653
Davide Vanoncini,1,ItalianChampionship2017,ongoing,1653
Andrea Testa,1,ItalianChampionship2017,ongoing,1653
Federico Manera,1,ItalianChampionship2017,ongoing,1653
Mauro Matranga,1,EtnaOpen2018,ongoing,1625
Niccolò Lo Presti,1,EtnaOpen2018,ongoing,1625
Michele Pecoraro,1,EtnaOpen2018,ongoing,1625
Sara Caristia,1,EtnaOpen2018,ongoing,1625
Lorenzo Nigro,1,EtnaOpen2018,ongoing,1625
Simone Munzone,1,EtnaOpen2018,ongoing,1625
Andrea Vitaliti,1,EtnaOpen2018,ongoing,1625
Alessio Arena,1,EtnaOpen2018,ongoing,1625
Giuseppe Giarratana,1,EtnaOpen2018,ongoing,1625
Giorgia Brighina,1,EtnaOpen2018,ongoing,1625
Emanuele Cardinali,1,EtnaOpen2018,ongoing,1625
Daniel Scevola,1,EtnaOpen2018,ongoing,1625
Gianluca Senesi,1,RovigoOpen2018,ongoing,1603
Davide Maietta,1,ItalianOpen2017,ongoing,1723
Alessandro Cristofanilli,1,ItalianOpen2017,ongoing,1723
Andrea Vettorazzo,1,VeronaOpen2017,ongoing,1736
Aurora Zambelli,1,MilanCubeDay2017,ongoing,1911
Emanuele Raciti,1,EtnaOpen2016,ongoing,2016
Alfio Raciti,1,EtnaOpen2016,ongoing,2016
Giovanni Gentile,1,EtnaOpen2016,ongoing,2016
Gaspare Pio Renna,1,TurinCubeDay2017,ongoing,1939
Luca Tincani,1,FioranoOpen2017,ongoing,1925
Rebecca Giovennelli,1,AlmostRomeOpen2017,ongoing,1918
Pierluigi Parisella,1,AlmostRomeOpen2017,ongoing,1918
Luigi Rinaldi,1,MilanCubeDay2017,ongoing,1911
Pietro Casu,1,MilanCubeDay2017,ongoing,1911
Pietro Sgroi,1,MilanCubeDay2017,ongoing,1911
Diana Ravaldi,1,MilanCubeDay2017,ongoing,1911
Alexander Stürz,1,VeronaOpen2017,ongoing,1736
Geremia Lama,1,SanMarinoOpen2017,ongoing,1877
Thomas Picerno,1,EretumOpen2017,ongoing,1856
Vittorio Barbato,1,EretumOpen2017,ongoing,1856
Matteo Giacomozzi,1,VeronaOpen2017,ongoing,1736
Mattia Saponaro,1,VeronaOpen2017,ongoing,1736
Luca Dal Forno,1,VeronaOpen2017,ongoing,1736
Marco Pozzati,1,VeronaOpen2017,ongoing,1736
Michele Turrina,1,VeronaOpen2017,ongoing,1736
Federico Brusadin,1,VeronaOpen2017,ongoing,1736
Andrea Cremoni,1,VeronaOpen2017,ongoing,1736
Federico Pace,1,CroissyOpen2018,ongoing,1590
Enea Nika,1,MantuaWinter2018,ongoing,1582
Mattia Zucchetti,1,PoliMiOp3n2018,ongoing,1492
Emanuele Bianchetti,1,PoliMiOp3n2018,ongoing,1492
Michela Montrasio,1,PoliMiOp3n2018,ongoing,1492
Raffaele Varacalli,1,PoliMiOp3n2018,ongoing,1492
Samuele Tognolo,1,PoliMiOp3n2018,ongoing,1492
Sara Lacchia,1,PoliMiOp3n2018,ongoing,1492
Daniele Amodio,1,PoliMiOp3n2018,ongoing,1492
Andrea Lacchia,1,PoliMiOp3n2018,ongoing,1492
Andrea Parente,1,PoliMiOp3n2018,ongoing,1492
Angelo Amoako,1,PoliMiOp3n2018,ongoing,1492
Andrea Civico,1,PoliMiOp3n2018,ongoing,1492
Lorenzo Busso Abbondanza,1,PoliMiOp3n2018,ongoing,1492
Stefano Baldi,1,HotelCube2018,ongoing,1485
Michele Iannello,1,PoliMiOp3n2018,ongoing,1492
Pietro Rinaldi,1,Roma3AlCubo2018,ongoing,1478
Nicola Romano,1,Roma3AlCubo2018,ongoing,1478
Davide Macera,1,Roma3AlCubo2018,ongoing,1478
Flavio Peretta,1,Roma3AlCubo2018,ongoing,1478
Siro Saronni,1,MonzaEuroWarmup2018,ongoing,1456
Eugenio Tricomi,1,MonzaEuroWarmup2018,ongoing,1456
Filippo Aldrovandi,1,MonzaEuroWarmup2018,ongoing,1456
Matteo Bianchini,1,ItalianOpen2018,ongoing,1387
Marco Gianni Levati,1,ItalianOpen2018,ongoing,1387
Walter Tarantelli,1,ItalianOpen2018,ongoing,1387
Ilaria Nissotti-Revel,1,SwisscubingCupI2018,ongoing,1576
Enea Fiammenghi,1,CarpiGoesBig2022,ongoing,8
Pietro Brunengo,1,PoliMiOp3n2018,ongoing,1492
Arianna Ladurini,1,FioranoOpen2018,ongoing,1554
Matteo Lorenzini,1,EretumOpen2018,ongoing,1569
Michele Manni,1,EretumOpen2018,ongoing,1569
Marcello Menduni,1,EretumOpen2018,ongoing,1569
Luca Di Gioia,1,EretumOpen2018,ongoing,1569
Valerio Del Bianco,1,EretumOpen2018,ongoing,1569
Carmine De Benedittis,1,EretumOpen2018,ongoing,1569
Emanuele Brenna,1,EretumOpen2018,ongoing,1569
Alessandro Del Bianco,1,EretumOpen2018,ongoing,1569
Ignacio Cuzzolino Aste,1,LesFranquesesOpen2018,ongoing,1562
Tommaso Bevilacqua,1,FioranoOpen2018,ongoing,1554
Niccolò Marcolini,1,PoliMiOp3n2018,ongoing,1492
Valentina Ladurini,1,FioranoOpen2018,ongoing,1554
Edoardo Quirino,1,FioranoOpen2018,ongoing,1554
Federico Alessandro Ionita,1,FioranoOpen2018,ongoing,1554
Giovanni Valdes,1,FioranoOpen2018,ongoing,1554
Maurizio Errico,1,MilanSaturday2018,ongoing,1534
Thomas Benevento,1,MilanSaturday2018,ongoing,1534
Matteo Babini,1,SanMarinoNationals2018,ongoing,1513
Matteo Orselli,1,SanMarinoNationals2018,ongoing,1513
Filippo Gragnoli,1,SanMarinoNationals2018,ongoing,1513
Francesco Gragnoli,1,SanMarinoNationals2018,ongoing,1513
Valerio Sepe,0,ItalianChampionship2018,ItalianChampionship2018,0
Manuel Paparella,0,AKMeetsSpeedcubing2022,AKMeetsSpeedcubing2022,0
Marco Domenico Rivolta,0,ItalianOpen2018,ItalianOpen2018,0
Arad Shahrivari,0,FMCItaly2021,FMCItaly2021,0
Emanuela Villa,0,EtnaOpen2016,EtnaOpen2016,0
